,Product
60,CC(C)(C)c1noc(N2CCC(N(C(=O)c3cc(-c4ccc(C#N)cc4F)no3)C3CC3)CC2)n1
61,O=C(O)c1ccc(CBr)c(F)c1
62,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)CC(=O)O
63,COc1ccc(C2=CCC3(CC2)OCCO3)cc1
64,CNC(=O)N1C[C@@H](c2ccccc2)N(C2CCN(C(=O)OC(C)(C)C)CC2)C1=O
65,O=[N+]([O-])c1cc(Br)ccc1NCC1(O)CCCC1
66,C=CC(=O)OCC(Cl)(Cl)Cl
67,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
68,Cc1nc2c(nc1Nc1cnn(C)c1)c(C(=O)NC(C)(C)C)cn2COCC[Si](C)(C)C
69,C[C@@H](Nc1ncccc1I)C1CCOCC1
70,CC(C)(C)OC(=O)NC1(c2ccc(-c3c(-c4ccc(C(=O)OCc5ccccc5)cc4)nc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCC1
71,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1C(=O)CCC2
72,NC(=O)c1ncc(-c2cccc(-c3ccccc3C(F)(F)F)c2)[nH]1
73,c1ccc(C2CCC3(CC2)OCCO3)nc1
74,C[C@H]1CNCCN1C1CCc2ccc(C(F)(F)F)cc21
75,COC(=O)c1cc(C(F)(F)F)nn1CCBr
76,CC(NC(c1ccc(F)cc1)c1cccc(N)c1)c1ccc(F)c(F)c1
77,COc1nc(Cl)cnc1NS(=O)(=O)c1ccc(Br)s1
78,CCC(=O)COc1cc(N)c(Cl)cc1C(=O)NCCN(CC)CC
79,O=C(Cc1cnccn1)N[C@@H](COCc1ccccc1)C(=O)Nc1ccc(Oc2ccc(F)cc2)cc1
80,CCNC(=S)NCc1ccccc1
81,CCOCCOCCC(=O)Nc1ccc2c(c1)C(C)(c1ccccc1)CC(C)(C)N2C(C)=O
82,NC(CO)c1cccc(NC2CCCCC2)c1
83,CNc1ccc(OC)cc1C
84,CCNCC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CC)C1
85,CN1CCN(Cc2ccc(-c3cc(Cn4cc5nc(-c6cccc(F)c6F)nc-5cn4)on3)cc2)CC1
86,CCOC(=O)c1csc(I)n1
87,CC(C)(C)C(=O)ON[C@H]1CSc2c(cccc2-c2ccccc2)NC1=O
88,O=[N+]([O-])c1ccc2c(c1)c(-c1cn[nH]c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1
89,CCCCCc1ccc(-c2cc3cn([C@H]4C[C@H](OC(=O)OCc5ccccc5)[C@@H](CO)O4)c(=O)nc3o2)cc1
90,CN(C)c1ccc(-c2cnc3ccc(O)cc3n2)cc1
91,Cc1c(C(=O)O)sc2cc(C(F)(F)F)ccc12
92,COc1ccc([C@@H](O)[C@H](NC(=O)[C@@H](N)CO)C(=O)OCc2ccccc2)cc1
93,CCCOc1ccc(C)cc1-c1nc(N)c(N)c(=O)[nH]1
94,CCCc1nc2c(cc1C(=O)O)C(=O)N(C1CCN(Cc3cc(C4CC4)c(-c4ccc(F)cc4F)c(F)c3OC)CC1)CC2
95,Cc1ccc(-n2ccc(NC(=O)c3cc(Cl)ccc3[N+](=O)[O-])n2)cc1C
96,COc1cc2c(cc1[N+](=O)[O-])CCN(C(CF)CF)CC2
97,CCOC(=O)c1cn2c3c(cc(C#CCNC(=O)OC(C)(C)C)cc3c1=O)CCC2
98,CC(C)c1c(C(=O)NCc2ccc(F)c(F)c2)c2ccc(OCc3ccccc3)cc2n1Cc1ccccc1
99,O=C(O)CNC(=O)c1cccs1
100,O=C(Nc1nnn[nH]1)c1cccc([N+](=O)[O-])c1O
101,CC(C)c1ccc(N(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)C(=O)C2CCCc3c(OCc4ccccc4)cccc32)cc1
102,NCCc1ccc(Oc2ncccc2C(N)=O)cc1
103,CC(=O)N(N=Nc1cc(C(F)(F)F)ccc1C#N)c1cc(C(F)(F)F)ccc1C#N
104,CCc1nc2c(C)cc(CC(C)O)nc2n1[C@H]1CCc2cc(-c3ccccc3-c3nnnn3C(c3ccccc3)(c3ccccc3)c3ccccc3)ccc21
105,C=CCNc1nc(OCc2ccc(F)cc2F)c(Cl)c(=O)n1-c1cc(C(=O)O)ccc1C
106,O=C(O)c1ccc2c(c1)C[C@H]1[C@@H]2CCCN1C(=O)c1ccc2[nH]cnc2c1
107,O=Cc1cc(F)c(OCc2ccccc2)c(F)c1
108,CC(=O)Oc1ccc(-c2ccccc2)cc1
109,O=C(O)CSc1nc2cc(-c3ccc(-c4ccccc4O)cc3)c(Cl)cc2[nH]1
110,C[C@@H]1CN2c3c(cc4c(N5CCNCC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1
111,COC(=O)c1c(CN(CC#N)S(=O)(=O)c2ccc(C)cc2)n(S(=O)(=O)c2ccccc2)c2ncccc12
112,CC(C)OC(=O)c1sc(Cl)nc1C(F)(F)F
113,O=c1c(-n2ccnc2)c[nH]n1-c1cc(N2CCC(F)(F)C2)ncn1
114,O=C1C(=O)c2ccccc2C2=C1SCC1(CCN(CC3CCCO3)CC1)O2
115,Cc1cc(Cl)nc(N2CC[C@@H](F)C2)c1[N+](=O)[O-]
116,COc1c(OC(F)F)ccc(-c2cccc3c2CCC3=O)c1OCc1ccc(S(C)(=O)=O)cc1
117,Cc1cc(Br)c2c3c1N(C)CC3CN(C(=O)OC(C)(C)C)CC2
118,CCc1cnc(N2CCC([C@H]3Cc4cc(C5=CCN(S(C)(=O)=O)CC5)ncc4O3)CC2)nc1
119,COc1ccccc1N1CCN(Cc2c(C3CC3)nn(-c3ccccc3)c2N)CC1
120,CC(=O)Nc1ccc(Oc2ccc([N+](=O)[O-])nc2)cc1
121,COc1ccc(C(NC2=N[C@](C)(c3cc(Nc4ccccc4OC)ccc3F)[C@@H](F)CO2)(c2ccccc2)c2ccc(OC)cc2)cc1
122,COc1ccc([C@H]2SC=C(c3ccccc3)N(CCN(C)C)C(=O)[C@H]2O)cc1
123,CCCCN1CCCC(Nc2ccc(-n3ccnc3)cc2C)C1
124,CCOC(=O)CC1OB(O)c2cc(Oc3cccc(CN4CCN(C(=O)OC(C)(C)C)CC4)c3)ccc21
125,COc1ccc(-c2c(F)ccc3c2/C(=C/c2[nH]cnc2C)C(=O)N3)c(OC)c1
126,Cc1cc2c(ccc3nnc(C)n32)n1Cc1ccccn1
127,CC(C)(C)OC(=O)N1CCC[C@@H]1COc1cccc(CO[Si](C)(C)C(C)(C)C)n1
128,COc1ccccc1[C@H](c1cccc2ccccc12)[C@@](C)(C#N)C(=O)N1CCN(CCN2CCOCC2)CC1
129,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@@H](C)C(=O)N(C)C)c34)cc2C)cn1
130,CC(C)=Cc1ccc2c(c1)OCO2
131,CC(C)(C)OC(=O)N1CCC(CCOc2ccc(C(=O)OCc3ccccc3)cc2)CC1
132,CCc1ccc(-c2coc3ncnc(O[C@H](C)CCCCC(=O)OC(C)(C)C)c23)cc1
133,O=c1c2cc(C(F)(F)F)ccc2ccn1-c1cncc(F)c1
134,CCOC(=O)c1sc(Cl)nc1-c1nnco1
135,CCCS(=O)(=O)c1cc(OCCCCCCc2cccc(OCCCC(=O)OCC)c2CCC(=O)OCC)cc(-c2ccsc2)c1
136,O=C(N[C@@H]1CN(C(=O)OCc2ccccc2)CC[C@H]1C1CCCCC1)Oc1ccc([N+](=O)[O-])cc1
137,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@@H](NC(C)=O)[C@H](N=[N+]=[N-])[C@@H]1OS(C)(=O)=O
138,CNc1ccc(C(=O)Nc2ccc(Br)cc2)cc1[N+](=O)[O-]
139,CC(=O)N1c2ccc(NC(=O)c3cccc(C)c3-c3ccccc3)cc2C(C)(c2ccccc2)CC1(C)C
140,NCCOc1ccc(-c2cnoc2)cc1
141,C=C(OCC)c1ncccc1[N+](=O)[O-]
142,CN(Cc1cccc(-c2ccc(CC3SC(=O)NC3=O)cc2)c1)C(=O)c1ccno1
143,COc1ccccc1N1CCN([C@@H]2CC[C@@H](c3ccc(C)cc3C)CC2)CC1
144,CCOC(=O)c1sc(N)nc1-c1cccc(C#N)c1
145,C#C[C@H]1CC[C@@H](C#N)N1C(=O)CNC1CCCC1
146,Cc1cc(OCC2CCN(C(=O)OC(C)(C)C)CC2)cc(OS(=O)(=O)c2ccccc2)c1
147,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](CCO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C
148,COC(=O)Cc1cc(OCc2ccc(F)cc2)ccc1CO
149,Cc1cc(O)c2c3c(oc(=O)c2c1)C(=O)c1c(O)cccc1C3=O
150,CCOC(=O)c1ncc2[nH]c3ccc(N)cc3c2c1C
151,O=C(c1cccc(F)c1)N1CC2CC2(c2ccc(Cl)cc2)C1
152,CC(C)(C)OC(=O)N1CCN(c2nccc3ccc(Sc4ccccc4C(C)(C)C)cc23)CC1
153,COc1cc2ncnc(Nc3nc4ccc(NC(=O)Nc5ccc(Cl)c(C(F)(F)F)c5)cc4s3)c2cc1OC
154,O=C(Nc1cccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
155,Cc1nc2cccnc2n(-c2cccc(N)c2)c1=O
156,O=C(O)[C@H](CCc1ccccc1)NS(=O)(=O)c1ccc2c(c1)Sc1ccccc1O2
157,O=Cc1csc2ccncc12
158,O=C1CCN(Cc2ccc(Cl)cc2)CC1
159,c1cnc2c(c1)CC[C@H]1CCCN(Cc3cn4c(N5CCOCC5)cccc4n3)[C@@H]21
160,COc1ccc(CN2CCN(c3cc(Cl)cc(Cl)c3)CC2COCc2ccc([N+](=O)[O-])cc2)cc1OC
161,NCCn1cc(C(=O)N2CCC(c3cccc4c3OCC4)CC2)c2ccc(Cl)cc21
162,Oc1ccc2c(c1)CCN2
163,CCOC(=O)CCCC1Cc2ccccc2N(CCCN(C)C)c2ccccc21
164,N#Cc1csc(N2C(=O)C(Cc3ccccc3)NC2=S)n1
165,CC(C)(C)OC(=O)c1ccccc1[N+](=O)[O-]
166,O=C(N[C@@H]1CC[C@@H](CCN2CCC(Oc3ccc(F)cc3F)CC2)CC1)c1ccnc2ccccc12
167,Cc1cc(OCCC(=O)OC(C)(C)C)cc2c1C(CC(=O)O)OB2O
168,Cc1nnc(-c2ccccc2F)n2nc(OCc3ncnn3C)c(Br)c12
169,CCN1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc(Cl)cn2)CC1
170,CCS(=O)(=O)N[C@@H]1CCOC[C@H]1c1ccc(-c2ccccc2)cc1
171,COCCN(C(=O)c1ccc(Cl)cc1Cl)c1cc(C#CC(C)(C)C)sc1C(=O)OC
172,COc1cc(C(=O)NC2COC2)ccc1Nc1nc(OC2(C)CCC2)c2c(-c3ccc4nc(C)oc4c3)cn(COCC[Si](C)(C)C)c2n1
173,C#CCC(CC#C)C(=O)OC
174,CCc1c(OCCCC(=O)O)cccc1-c1noc(-c2ccc(OC(C)C)c(Cl)c2)n1
175,COc1ccccc1-c1cncc(N2CC3CC4CC2CN(C4)C3)c1
176,CN(C)c1ccc(CNC2CCN(C(=O)OC(C)(C)C)CC2)cc1[N+](=O)[O-]
177,O=[N+]([O-])c1cc(I)ccc1Nc1cccc(-c2ccccn2)c1
178,O=C1OCCN1CCN1CCN(C2Cc3cc(C(F)(F)F)ccc3Sc3ccccc32)CC1
179,CC(C)(C)OC(=O)N1CC[C@@H](N)[C@@H](C(=O)N2CCC[C@@H](Cc3ccc(F)cc3)C2)C1
180,CCCC(C(=O)OC)c1c(C)nc(-c2cccc3ncccc23)nc1-c1ccc(C)cc1
181,N#Cc1ccc(OCCCN2CCCCC2)cc1C(F)(F)F
182,CC(C)CCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
183,NC(=O)c1cccc2[nH]c(C(F)(F)Cl)nc12
184,COC(=O)c1ccc(CCCN2C(=O)CCC2CCC(Cc2cccc(Oc3ccccc3)c2)O[Si](C)(C)C(C)(C)C)cc1
185,O=C(CCc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3ccccc13)CCCC2
186,COC(=O)CC1CCN(C(=O)c2ccc3c(c2)nc(C(C)(C)C)n3CC2CCC(F)(F)CC2)CC1
187,CC(C)(C)OC(=O)N1CCN(c2ncncc2Cl)CC1
188,C#CCSc1ccccc1C(=O)O
189,C=CC[C@H](C)Oc1cc(F)c(F)cc1C=O
190,CC[C@@H](C(N)=O)N1CNCC1=O
191,Oc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1
192,Nc1ccc(CCN2CCCC(Cc3ccccc3)C2)cc1
193,N[C@H](Cc1c[nH]c2ccccc12)c1nc(-c2ccc(F)cc2)c[nH]1
194,COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)cn(CC3(NC(=O)OC(C)(C)C)COC(C)(C)OC3)c2c1
195,CC(=O)NCCCS(=O)(=O)OCC(C)(C)[C@@H](O[Si](C)(C)C(C)(C)C)C(=O)OCc1oc(=O)oc1C
196,CCc1cccc(Oc2nc(C(=O)NC(C)c3cc(F)c(NS(C)(=O)=O)c(F)c3)co2)c1
197,COc1cc(OC)c2c3c(c(=O)oc2c1)CN(CCN1CCCCC1)CC3
198,CCOC(OCC)c1cc2ccc(C(=O)N[C@H]3CN4CCC3CC4)cc2o1
199,Cc1ccccc1C(/N=C/c1ccccn1)c1ccccc1C
200,c1ccc(Nc2c[nH]c3ncccc23)cc1
201,COc1ccc(Cn2cc(-c3ccnc4[nH]ccc34)c(-c3ccc(NC(=O)Nc4ccccc4)cc3)n2)cc1
202,CCCCN(CCCC)C(=O)c1ncn(C)c1-c1ccc(C(=O)OC)cc1C(=O)N1CCc2ccccc2C1
203,CCc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
204,O=C(COc1cccc(CCNC(=O)OCc2ccccc2)c1)Nc1nnn[nH]1
205,C[C@@H](CO)Oc1cc(Oc2cc(F)c(S(C)(=O)=O)cc2F)cc(C(=O)Nc2ccn(C)n2)c1
206,OC(CC1CCN(CC2CC2)CC1)(c1ccccc1)c1ccc(F)cc1
207,COc1ccc2c(c1)CCNC2c1ccc(OCc2ccccc2)cc1
208,COCN1c2cc(CN)ccc2Sc2nccnc21
209,CN(Cc1cn2c(N3CC[C@@H](N)C3)cccc2n1)[C@H]1CCCc2cccnc21
210,Nc1nnc(C(=O)NC2CC2)s1
211,C=C(C)OC(=O)Nc1cc(C(C)(C)C)nn1-c1ccc2ncccc2c1
212,O=C1NC(=O)C(=Cc2cccs2)S1
213,CC(C)NC[C@@H](Cc1ccccc1)Nc1nccc(N(C)c2ccnc(-c3ccccc3)n2)n1
214,CC(=O)N1CCC(Nc2nccc(N3CCOc4cnc(-c5ccccc5)nc43)n2)CC1
215,COc1ccc(C#N)cc1N1CCC2(CC1)OCCO2
216,O=[N+]([O-])c1ccccc1OCc1csc(-c2ccccc2)n1
217,COC(=O)c1cc(-c2nc(COc3ccc(COc4nn(-c5ccccc5)cc4C=O)cc3OC)c(C)o2)ccc1C
218,CC1(C)CNC[C@H]1O
219,OC1CCc2ccccc21
220,CC1(C)OB(c2ccc(C(=O)N3CCC[C@@H]3CN3CCCC3)cc2)OC1(C)C
221,CC1(C)COc2cc(C(=O)O)ccc21
222,CC(C)(Br)C(=O)N(Nc1ccccc1[N+](=O)[O-])C1C2CC3CC(C2)CC1C3
223,CC(C)(C)C(=O)OC[C@H]1O[C@@H](Oc2n[nH]c3nccc(CCc4ccc(OCCCOS(C)(=O)=O)cc4)c23)[C@H](OC(=O)C(C)(C)C)[C@@H](OC(=O)C(C)(C)C)[C@@H]1OC(=O)C(C)(C)C
224,O=C(c1cccnc1)N(Cc1cc(=O)[nH]c2c(F)cccc12)c1cccc(Cl)c1
225,N=C(NC(=O)c1c(F)cncc1C1CCC1)c1ccnc2[nH]c3ncc(F)cc3c12
226,O=C(OC[C@H]1O[C@H](OC(=O)c2ccccc2)C(=O)[C@@H]1OC(=O)c1ccccc1)c1ccccc1
227,CN(Cc1ccccc1C#N)S(C)(=O)=O
228,NC(=O)[C@@H]1CNCCN1c1ccc2c(c1)OCCn1cc(-c3ncnn3CC(F)(F)F)nc1-2
229,CN[C@@H](C)C(=O)N[C@H](C(=O)N1c2ncccc2C[C@H]1CNC(=O)c1ccccc1)C(C)C
230,NNC(=O)C1CCCN(C(=O)c2ccc(F)cc2)C1
231,OCCCC(COc1ccc(F)cc1)OCc1ccccc1
232,CC(C)Cc1nn2ccccc2c1-c1ccnc(S(C)=O)n1
233,NCCCNc1ccc(-c2cc(=O)c3c(N)c(F)cc(F)c3o2)cc1F
234,COCCOCCNC(=O)[C@@H](N)C(C)(C)C
235,COc1ccc2cc(C(C)C#N)ccc2c1
236,CC(C)CN1C(=O)C(O)(CC(=O)c2ccccn2)c2cc(Cl)ccc21
237,CC(C)(C)OC(=O)Nc1ccc(O)cc1C(=O)O
238,O=Cc1ccc(-c2ccc3oc(Cc4ccccc4)cc3c2)c(F)c1
239,CC(C)(C)OC(=O)N1CCC(O)(CC2CO2)CC1
240,CCOC(=O)c1c(Oc2ccc([N+](=O)[O-])cc2)cc(C(F)(F)F)nc1C(F)(F)F
241,Cc1ccc(S(=O)(=O)OCC2Cc3cccc(-c4ccc(F)cc4)c3O2)cc1
242,COC(=O)c1ccc(C(=O)NC2CCCN(c3cc(Nc4ccc(OC)c(OC)n4)c4nccn4n3)C2)cc1
243,O=c1[nH]nc(Sc2ccncc2)c2ccccc12
244,O=S(=O)(c1ccc2cc(-c3ccc(F)cc3)ccc2c1)c1sccc1CO
245,O=C[C@@H]1CN(C(=O)OCc2ccccc2)CCN1C(c1ccccc1)(c1ccccc1)c1ccccc1
246,Cc1oc(=O)oc1CBr
247,CCCC(C)C(=O)NC(=S)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1
248,COc1ccc(NC(=O)OC(C)(C)C)c(NC(=O)CC(=O)c2cccc(-c3ccncc3)c2)c1
249,CC(C)(O)CCCOCCC1CC2C(=O)CCCC2(C)C1(C)C
250,Cc1c(-c2nc(-c3ccc(OC(C)C)c(Cl)c3)no2)nc2n1CCN(CC(=O)OC(C)(C)C)C2
251,CCn1ccc(-c2cc(C(=O)O)nn2-c2ccc(C)nc2)c1
252,CC(C)(C)OC(=O)CNCCc1cccc(C(=O)OC(C)(C)C)c1
253,CCCC[Sn](CCCC)(CCCC)c1ccc(CC)nc1
254,O=C(CCNC(=O)OCc1ccccc1)NC[C@H]1CCCN(CC2CCCCC2)C1
255,COc1cccc2ccc(-c3nnc4ccc([C@@H](N5CC[C@H](N(CCF)C(=O)OC(C)(C)C)C5)C(F)(F)F)cn34)nc12
256,Cc1cc(CN2CCCCC2)ccc1C(=O)O
257,COc1ccc2c(c1)CN(C)CC2c1ccccc1
258,Cc1ccc(NS(=O)(=O)c2ccc(F)cc2)c(C(=O)O)c1
259,CC(C)N1CCCC(c2ccc3[nH]c(C(=O)Nc4cc(F)cc(F)c4)cc3c2)C1
260,CC(C)(C)OC(=O)N1CCC[C@H]1CO
261,NC1CCN(C2CCC2)CC1
262,Cn1c(CCc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21
263,N#Cc1ccc(C(=O)O)c(C(F)(F)F)c1
264,Cc1cccc(-c2sc(C#C[Si](C)(C)C)nc2C(=O)N2C[C@H]3C[C@H]3[C@H]2CNC(=O)c2c(C)nc3sccn23)c1
265,CCCc1nc(C)n(-c2ccc(OC(C)(C)C(C)=O)cc2)c(=O)c1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1
266,O=C(N(CCO)Cc1ccccc1)C(F)(F)F
267,OCCCc1cccc2c1B(O)OC2
268,CC1c2cc(F)sc2CCN1C(=O)c1cc2ncc(Cl)cn2n1
269,CC(C)(C)OC(=O)CNS(=O)(=O)c1ccc2c(Cl)cnc(NC(=N)N)c2c1
270,CCC1C(=O)N(CC)CCc2cc(N)c(OC)cc21
271,COC(=O)[C@@H]1CSc2c(C3CC3)c(Cc3cccc4ccccc34)c(NS(C)(=O)=O)c(=O)n21
272,CN(C)c1cc(S(C)(=O)=O)ccc1-n1ncc2c(O)ncnc21
273,O=C(O)CCCCCCCOc1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1
274,Nc1nccc2c(NC3CCNCC3)cccc12
275,N#Cc1cccc(C(=O)Nc2cccc(-c3nnn[nH]3)c2)c1
276,COc1ncc2cc(C(=O)Nc3cc(C(=O)NC4(c5ccccc5)CCN(C(=O)OC(C)(C)C)CC4)ccc3Cl)c(=O)[nH]c2n1
277,CS(=O)(=O)c1ccc(-n2nccc2-c2ccc(-c3ccco3)cc2)cc1F
278,CC(C)CCn1c(=O)n(CCC(C)C)c2cc(C(=O)O)ccc21
279,CC(CN)N1CCC(C(=O)c2ccc(F)cc2)CC1
280,N#Cc1ccc(N2CCC[C@@H](NC(=O)OCc3ccccc3)C2)c2c1[nH]c1cc(C(=O)O)ccc12
281,BrCCSc1cccs1
282,C[C@@H](c1ccc(-c2ccccn2)cc1)N1CC[C@](CC(C)(C)O)(c2ccc(F)cc2)OC1=O
